country,year,allies,borderCountries,inversion,gdp,war
"ALB",1977,,"GRC,MNE,MKD,SRB",8.1126289,2309,1
"ALB",2016,,"GRC,MNE,MKD,SRB",1.229624,5804,0
"ALB",2018,,"GRC,MNE,MKD,SRB",1.0942822,5456,0
"ALB",1960,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",14.846574,1451,1
"ALB",1960,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",14.846574,959,1
"ALB",1962,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",19.276125,1511,1
"ALB",1962,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",19.276125,965,1
"ALB",1967,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",14.126329,1804,1
"ALB",1967,"BGR,GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",14.126329,980,1
"ALB",1968,"GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",13.062907,1869,1
"ALB",1968,"GDR,POL,CZK,BGR,ROU,RUS","GRC,MNE,MKD,SRB",13.062907,983,1
"ALB",1994,"TUR,BGR","GRC,MNE,MKD,SRB",4.9031806,2088,0
"ALB",1997,"TUR,BGR","GRC,MNE,MKD,SRB",3.9806018,2132,1
"ALB",2003,"TUR,BGR","GRC,MNE,MKD,SRB",1.3205025,3516,0
"ALB",1974,,"GRC,MNE,MKD,SRB",9.2773218,2282,1
"ALB",1976,,"GRC,MNE,MKD,SRB",9.297617,2299,1
"ALB",1980,,"GRC,MNE,MKD,SRB",10.467397,2347,1
"ALB",1983,,"GRC,MNE,MKD,SRB",6.696359599999999,2387,1
"ALB",1984,,"GRC,MNE,MKD,SRB",6.7206812000000005,2400,1
"ALB",2014,,"GRC,MNE,MKD,SRB",1.3473703,5505,0
"ALB",2004,"TUR,BGR","GRC,MNE,MKD,SRB",1.4345698,3739,0
"ALB",2005,"TUR,BGR","GRC,MNE,MKD,SRB",1.4206209,3974,0
"ALB",1972,,"GRC,MNE,MKD,SRB",10.043446,2165,1
"BGD",1987,"IND","IND,MMR",1.3377283000000002,602,0
"BGD",2000,,"IND,MMR",1.2930243,822,0
"BGD",2011,,"IND,MMR",1.1481924,1337,0
"BGD",2012,,"IND,MMR",1.14862,1405,0
"BGD",2019,,"IND,MMR",1.4972200000000004,1447,0
"BGD",1989,"IND","IND,MMR",1.0024543,606,0
"BGD",1983,"IND","IND,MMR",1.0100324,559,0
"BGD",1984,"IND","IND,MMR",1.3777072,576,0
"BGD",1999,,"IND,MMR",1.3009201,792,0
"BGD",1993,"IND","IND,MMR",1.0689288,662,0
"BGD",2002,,"IND,MMR",1.1066345,875,0
"BGD",2016,,"IND,MMR",1.4417896,1738,0
"BGD",2018,,"IND,MMR",1.4787432000000003,1544,0
"BGD",1998,,"IND,MMR",1.2614466999999998,765,0
"BGD",2006,,"IND,MMR",1.3038242,1056,0
"BGD",2017,,"IND,MMR",1.4602664,1641,0
"BGD",2010,,"IND,MMR",1.0729215,1269,0
"BGD",1994,"IND","IND,MMR",1.4046267,678,0
"BGD",2003,,"IND,MMR",1.070588,912,0
"BGD",2007,,"IND,MMR",1.2528692,1113,0
"BGD",1982,"IND","IND,MMR",1.2934232,545,0
"BGD",1988,"IND","IND,MMR",1.1875486000000002,605,0
"BGD",1995,"IND","IND,MMR",1.3175981,697,0
"BGD",1997,"IND","IND,MMR",1.2283543,742,0
"BGD",2008,,"IND,MMR",1.2930617,1162,0
"BGD",2014,,"IND,MMR",1.3613603,1551,0
"BGD",2015,,"IND,MMR",1.4602664,1641,0
"BGD",2001,,"IND,MMR",1.1833711,848,0
"BGD",2004,,"IND,MMR",1.192674,954,0
"BGD",2013,,"IND,MMR",1.3341514,1474,0
