Conflict,Combatant 1,Combatant 2,Results
Tunisian-Sicilian War(1801-1805),,,
Greek War of Independence(1821-1829),,,
Conquest of Tunisia(1881),,,
Bizerte Crisis(1961),,,
October War (1973),,,
Battle of Wazzin (2011),,,
Chaambi Operations(2012-2019),,,
ISIL insurgency in Tunisia(2015-2019),,,
