Conflict,Combatant 1,Combatant 2,Results
Guinea-Bissau War of Independence(1963-1974),PAIGC Guinea Cuba,Portugal,Stalemate[1] (political victory)[2] Independence of Guinea-Bissau.
Guinea-Bissau Civil War[3](1998-1999),Guinea-Bissau Senegal Guinea,Military rebels,Regime change Ousting of João Bernardo Vieira.
2012 Guinea-Bissau coup d'état (2012),Civilian administration (including Election Commission) Civil society Police PAIGC Angolan Military,Military Command National Transitional Council,"* Bissau seized by military command Military command seizes control of state media Arrest of presidential candidate Carlos Gomes Júnior and interim President Raimundo Pereira Dissolution of state institutions Aborted election* Interim transitional government led by Manuel Serifo Nhamadjo, after consensus acting Prime Minister Rui Duarte de Barros"
