Conflict,Bangladeshand allies,Opponents,Results
(1830-1831),,,
(1832-1834),,,
(1861-1867),,,
(1881-1899),,,
(1892-1894),,,
(1895-1908),,,
(1914-1918),,,
(1940),,,
(1940-1945),,,
(1950-1953),,,
(1959-1962),,,
(1960-1966),,,
(1978),,,
(1990-1991),,,
(1991-2003),,,
(1992-1995),,,
(1998-1999),,,
(2001-2019),,,
(2011),,,
(2014-2019),,,
