Conflict,Combatant 1,Combatant 2,Results,Presidentof Djibouti,Djiboutiancasualties
Djiboutian Civil War(1991-1994),,,,,
FRUD Insurgency(1998-2019),,,,,
Somali Civil War(2011-2019),,,,,
