Conflict,Combatant 1,Combatant 2,Results
Cisplatine War(1825-1828),United Provinces,Brazil,Stalemate Independence of the Republic of Uruguay.
Uruguayan Civil War(1839-1852),Colorados Unitarians Brazil Entre Ríos Corrientes United Kingdom France,Argentine Confederation Federalists Blancos,Colorado victory Argentine clout over the Platine region ends[1] Brazilian hegemony in the Platine region
Uruguayan War(1864-1865),Uruguay Blancos Federalists,Brazil Colorados Unitarians,"Colorado victory Colorados takeover, regime change in Uruguay."
Paraguayan War(1864-1870),Brazil Argentina Uruguay,Paraguay,Victory Allied occupation of Paraguay.
Revolution of the Lances(1870-1872),Colorados,Blancos,Blanco victory Agreement of power-sharing reached. 
