Conflict,Combatant 1,Combatant 2,Results
Mozambican War of Independence(1964-1974),,,
Rhodesian Bush War(1975-1979),,,
Mozambican Civil War(1977-1994),,,
Uganda-Tanzania War(1978-1979),,,
RENAMO Insurgency(2013-2019),,,
Islamist insurgency in Mozambique(2017-2019),,,
