Conflict,Combatant 1,Combatant 2,Results
Azerbaijan Democratic Republic (1918-1920),Azerbaijan Democratic Republic (1918-1920),Azerbaijan Democratic Republic (1918-1920),Azerbaijan Democratic Republic (1918-1920)
Armenian-Azerbaijani War(1918-1920),Azerbaijan Ottoman Empire Azerbaijan SSR Russian SFSR,Armenia Mountainous Armenia United Kingdom Centrocaspian Dictatorship,Soviet victory Karabakh dispute settled in Azeri favor
Red Army invasion of Azerbaijan(1920),Azerbaijan,Russian SFSR Azerbaijani Bolsheviks,Defeat Overthrow of the ADR government
Ganja Uprising(1920),Russian SFSR Azerbaijan SSR,Rebels,Bolshevik victory Defeat of the rebels
Republic of Azerbaijan (1991-2019),Republic of Azerbaijan (1991-),Republic of Azerbaijan (1991-),Republic of Azerbaijan (1991-)
Nagorno-Karabakh War  (1988-1994),Azerbaijan Hezb-e Islami Chechen militants,Nagorno-Karabakh Armenia,Stalemate Independence of Nagorno-Karabakh

