Conflict,Qatarand allies,Opponents,Result
Saudi invasion of Qatar  (1793-1798),,,
Qatari War of Independence (1867-1868),,,
Battle of Al Wajbah[3](1893),,,
Gulf War  (1990-1991),,,
Libyan Civil War[4]( 2011),,,
Intervention against ISIL (2014-2019),,,
Intervention in Yemen (2015-2017),,,
