Conflict,Combatant 1,Combatant 2,Results
Battle of Suriname(1804),Batavian Republic  Dutch Guiana France,United Kingdom,British occupation of Suriname Britain took part of Dutch Guiana.
Surinamese coup d'état(1980),Henck Arron,Dési Bouterse,Dési Bouterse victory Overthrow of the Prime Minister with a violent coup.
Suriname Guerrilla War(1986-1992),Suriname,Jungle CommandoTucayana Amazonas,State victory Rebellion suppressed.
