Conflict,Combatant 1,Combatant 2,Result
1968 Republic of the Congo coup d'état(1968),Republic of the Congo,Army Faction,Coup succeeds
1972 Republic of the Congo coup d'état attempt(1972),Republic of the Congo,Pro-Ange Diawara Faction,Coup fails
First Republic of the Congo Civil War(1993-1994),Republic of the CongoCocoye MilitaNinja Milita Gabon France,Congolese Party of LabourCobra Militia,Government victory
Second Republic of the Congo Civil War(1997-1999),Armed Forces of the Republic of the Congo (to October 1997)Cocoye MilitiaNinja MilitiaNsiloulou Militia Democratic Republic of the Congo[1][2],Armed Forces of the Republic of the Congo (from October 1997)Cobra Militia Rwandan Hutu Militia  Angola Chad[2],Nguesso loyalist victory
Central African Republic Civil War(2013-2019),Central African Republic South Africa France Democratic Republic of the Congo Angola Cameroon Chad Republic of the Congo Gabon,Séléka Anti-balaka,Ongoing President Michel Djotodia resigns and is replaced by Catherine Samba-Panza
Pool War(2016-2017),Republic of the Congo,Ninja Militia,Ceasefire
