Conflict,Combatant 1,Combatant 2,Result
Angolan War of Independence(1961-1974),MPLA   FNLA  UNITA FLEC,Portugal South Africa,"Political victory Alvor Agreement, Angolan independence in 1975"
Angolan Civil War(1975-2002),MPLA SWAPO MK Cuba Soviet Union EO,UNITA FNLA South Africa Zaire,MPLA victory Withdrawal of all foreign forces from Angola UNITA and FNLA disarmed
Cabinda War(1975-2019),Angola Cuba,FLEC,Ongoing Surrender of FLEC-Renovada in August 2006
First Congo War(1996-1997),AFDL  Uganda  Rwanda Burundi  Angola Eritrea,Zaire ALiR UNITA,Victory Zaire reorganized into the DR Congo
Congo-Brazzaville Civil War(1997-1999),Nguesso Government Angola Chad,Lissouba Government DR Congo,Victory Return to power of Denis Sassou Nguesso
Second Congo War(1998-2003),DR Congo  Angola Chad Namibia Zimbabwe   FDLR RDR ALiR Interahamwe Mai-Mai   LRA UNRF II ADF FNI FROLINA CNDD-FDD,RCD RCD-Goma Banyamulenge MLC FFR UPC Uganda Rwanda Burundi UNITA,"Stalemate Creation of a unified, multi-party government The Transitional Government of the Democratic Republic of the Congo is established, deployment of MONUC Continuation of the Ituri conflict until 2007 Start of the Kivu conflict"
Kivu Conflict(2004-2009),DR Congo Mai-Mai Zimbabwe Angola,CNDP,Victory CNDP integrated into the FARDC
Séléka Rebellion(2013-2019),Central African Republic South Africa France DR Congo Angola Cameroon Chad Congo-Brazzaville Gabon,Séléka Anti-balaka,Ongoing President Michel Djotodia resigns and is replaced by Catherine Samba-Panza
 
