Conflict
(1849-1850)
(1851-1859)
(1854-1855)
Nias Expedition(1855-1864)
Dutch intervention in Bali(1858)
Banjarmasin War(1859-1863)
Shimonoseki Campaign(1863-1864)
Dutch Gold Coast expedition of 1869-70(1869-1870)
Aceh War(1873-1904)
Batak War(1878-1907)
Mandor rebellion(1884-1885)
Jambi uprising(1885)
Edi Expedition(1890)
Dutch intervention in Lombok and Karangasem(1894)
Pedir Expedition(1897-1898)
Siege of the International Legations(1900)
Kerinci Expedition(1903)
South Sulawesi expedition(1904-1905)
Dutch intervention in Bali (1906)
Dutch-Venezuelan crisis of 1908(1908)
Dutch intervention in Bali (1908)
World War II(1940-1945)
Indonesian National Revolution(1940-1949)
APRA coup d'état(1950)
Korean War(1950-1953)
Operation Trikora(1961-1962)
Gulf War(1990-1991)
Bosnian War(1992-1995)
Kosovo War(1998-1999)
War in Afghanistan(2001-2019)
Operation Ocean Shield(2016)
Libyan Civil War(2011)
