Conflict,Dynasty and allies,Opponents,Result
Cambodian Rebellion (1811-1812),,,
Chao Anu Rebellion (1825-1828),,,
Siamese-Vietnamese War (1831-1834),,,
(1833-1835),,,
(1841-1845),,,
Cochinchina Campaign (1858-1862),,,
Tonkin Campaign (1883-1886),,,
 (1884-1885),,,
(1885-1896),,,
 (1884-1913),,,
Franco-Siamese War (1893),,,
(1916),,,
(1917),,,
(1930),,,
(1930-1931),,,
Japanese invasion of Indochina(1940),,,
Franco-Thai War (1940-1941),,,
Southern uprising(1940),,,
 (1940),,,
Operation Masterdom  (1945-1946),,,
First Indochina War (1946-1954),,,
Laotian Civil War (1953-1975),,,
Vietnam War (1959-1975),,,
Cambodian Civil War (1967-1975),,,
Insurgency in the Central Highlands (1975-1992),,,
Insurgency in Laos (1975-2007),,,
Cambodian-Vietnamese War (1977-1989),,,
Sino-Vietnamese War (1979),,,
Sino-Vietnamese conflicts 1979-90 (1979-1990),,,
Thai-Laotian Border War (1987-1988),,,
