Conflict
(1920)
(1935-1936)
(1941)
(1943-1945)
(1948-1949)
(1959)
(1961-1970)
(1973-1975)
(1980-1988)
(1990-1991)
(1995-1996)
(1998)
(1999)
(2003-2019)
