Conflict,Zimbabweand allies,Opponents,Results
Rhodesian Bush War(1965-1979),,,
Entumbane I(1980),,,
Entumbane II(1981),,,
Mozambican Civil War(1982-1992),,,
Gukurahundi(1984-1987),,,
Second Congo War(1998-2003),,,
Kivu Conflict(2004-2009),,,
