Conflict,Combatant 1,Combatant 2,Results
Agacher Strip War(1985),Mali,Burkina Faso,Victory Division of Agacher.
Northern Mali War(2012-2015),Mali France Chad Nigeria,Azawad Ansar Dine AQIM,Victory Defeat of the Islamists and ceasefire with the MNLA.
