Conflict,Combatant 1,Combatant 2,Result
Banjarmasin War(1859-1863),Netherlands  Dutch East Indies,Banjar Sultanate,Victory
Pasoemah Expedition(1864-1868),Netherlands  Dutch East Indies,Besemah peoples,Victory
Aceh War(1873-1904),Netherlands  Dutch East Indies,Aceh Sultanate Acehnese ulama,Victory
Batak War(1878-1907),Netherlands  Dutch East Indies,Batak Kingdom,Victory
Mandor rebellion(1884-1885),Netherlands  Dutch East Indies,Lanfang RepublicDayak peoplesChinese Indonesian militias,Victory
Jambi uprising(1885),Netherlands  Dutch East Indies,Jambinese rebels,Victory
Edi Expedition(1890),Netherlands  Dutch East Indies,Edi Kingdom,Victory
Dutch intervention in Lombok and Karangasem(1894),Netherlands  Dutch East Indies Sasak peoples,Lombok KingdomKarangasem KingdomSasak peoples,Victory
Pedir Expedition(1897-1898),Netherlands  Dutch East Indies,Pedir Kingdom,Victory
Kerinci Expedition(1903),Netherlands  Dutch East Indies,Kerinci peoples,Victory
South Sulawesi expedition(1904-1905),Netherlands  Dutch East Indies,Bone Sultanate Luwu KingdomWajo Kingdom,Victory
Dutch intervention in Bali(1906),Netherlands  Dutch East Indies,Badung KingdomTabanan KingdomKlungkung Kingdom,Victory
Dutch intervention in Bali(1908),Netherlands  Dutch East Indies,Balinese rebels,Victory
World War II(1939-1945),Allies,Axis,Victory
Indonesia(1945-Now),Indonesia(1945-Now),Indonesia(1945-Now),Indonesia(1945-Now)
PETA Revolt in Blitar(1945),Pembela Tanah Air,Japan  Pembela Tanah Air,Defeat
Indonesian National Revolution(1945-1949),Indonesia  Pembela Tanah Air  Pemuda  Japanese volunteers British Raj defectors,Netherlands  Dutch East Indies  Dutch Caribbean  Pontianak Sultanate Pao An Tui  Legion of Ratu Adil  United Kingdom (until 1946)   British Raj  Australia  Japan,Victory[1]
Madiun Affair(1948),Indonesia,Communist Party of Indonesia People's Democratic Front,Victory
Darul Islam rebellion(1949-1962),Indonesia,Islamic State of Indonesia Legion of Ratu Adil,Victory
