Conflict,Combatant 1,Combatant 2,Results,President ofSouth Sudan
First Sudanese Civil War  (1955-1972),ALF Anyanya,Sudan Libya Uganda,Stalemate[1] Addis Ababa Agreement[2],None
Second Sudanese Civil War  (1983-2005),SPLA SPDF SSLM Anyanya II Eastern Front Uganda Ethiopia Eritrea,Sudan Janjaweed SSDF Nuer White Army SPLA-Nasir LRA Libya,"Stalemate[3] Comprehensive Peace Agreement[4] 2011 Referendum, subsequent independence of South Sudan Eastern Sudan Peace Agreement",None
Heglig Crisis  (2012),South Sudan,Sudan,Defeat South Sudanese withdrawal from Heglig[5],Salva Kiir
South Sudanese Civil War  (2013-2019),SPLM SSLM Uganda,SPLM-IO SSDM Nuer White Army,Ongoing IGAD-negotiated settlement fails,Salva Kiir
