Conflict,Combatant 1,Combatant 2,Results,Casualties
Invasion of Northern Kyrgyzstan(1847),,,,
Tajikistani Civil War(1992-1997),,,,
Tulip Revolution(2005),,,,
Kyrgyz Revolution (2010),,,,
