Conflict,Combatant 1,Combatant 2,Results
Casamance Conflict(1982-2014),Senegal,MFDC,Low level ongoing MFDC declares a unilateral ceasefire.[1]
Mauritania-Senegal Border War(1989-1991),Senegal FLAM,Mauritania,"Indecisive Peace agreement, end of skirmishes."
First Liberian Civil War(1990-1993),Liberia ULIMO ECOMOG,NPFL INPFL,Withdrawal Senegalese withdrawal by 1993.
Guinea-Bissau Civil War[2](1998-1999),Guinea-Bissau Senegal Guinea,Military rebels,Defeat Ousting of João Bernardo Vieira.
Invasion of Anjouan(2008),Tanzania Sudan Comoros Senegal,Anjouan,"Victory Toppling of Mohamed Bacar, replacement of Anjouan's government."
Intervention in Yemen  (2015-2019),Hadi government Saudi Arabia UAE Bahrain Kuwait Qatar Jordan Morocco Sudan Egypt Senegal,Houthi government  Houthis  Saleh loyalists,Ongoing Houthis dissolve Yemeni government. Houthis take control of northern Yemen.
ECOWAS military intervention in the Gambia(2017-2019),Senegal[3] Nigeria[4] Ghana[5] Mali Togo Coalition 2016,Gambia MFDC[6]Jungulars[7],"Victory Yahya Jammeh steps down peacefully, minimal combat between the two sides."
