Conflict,Combatant 1,Combatant 2,Results,President,Tanzanianlosses
Mozambican Civil War(1977-1978),,,,,
Uganda-Tanzania War(1978-1979),,,,,
Invasion of Anjouan(2008),,,,,
M23 Rebellion(2013),,,,,
ADF Insurgency(2015-2019),,,,,
