Conflict,Combatant 1,Combatant 2,Results
First Ivorian Civil War (2002-2007),Ivory Coast Young Patriots of Abidjan Liberian mercenariessupported by: Belarus[1][2] Russia[3] Bulgaria[4],New Forcessupported by: Burkina Faso[5],"Tentative peace agreement, followed by renewed conflict"
2004 French-Ivorian clashes (2004),Ivory Coast,France,Defeat
Second Ivorian Civil War (2010-2011),Military of Ivory Coast Liberian mercenaries Young Patriots of Abidjan Ivorian Popular Front,New Forces Liberian mercenaries[6] RDR UNOCI France[7] Ukraine[8],Gbagbo captured; Ouattara/UN/French victory 
