Conflict,Combatant 1,Combatant 2,Result
Battle of Dimawe (1852),"Various Batswana (Bakwena, Batlokwa, Balete, Batswapong, and Bahurutshe) tribal warriors",Voortrekkers,Victory
Southern African Development Community intervention in Lesotho (1998-1999),SADC  South Africa   SANDF  Botswana[1],Lesotho opposition Pro-opposition faction of the LDF,Victory
