Conflict,Combatant 1,Combatant 2,Results,Casualties
Dominican War of Independence(1844-1856),Dominican Republic,Haiti,Victory Expulsion of Haitian government Dominican independence,unknown
Dominican Restoration War(1863-1865),Dominican Republic,Spain,Victory Restoration of Dominican sovereignty Withdrawal of Spanish forces,"4,000 dead[1]"
Dominican Civil War (1911-12),,,,
World War II(1941-1945),,,,
Dominican Civil War(1965-1966),,,,
Iraq War(2003-2011),,,,
