Conflict,Combatant 1,Combatant 2,Results
Filibuster War(1856-1857),Costa Rica Nicaragua Mosquito Coast Guatemala Honduras El Salvador United States United Kingdom (naval support),Filibusters,Victory William Walker's army is defeated and he is arrested by the American Navy
World War I(1918),France United Kingdom Russia United States China Italy Japan Canada Australia New Zealand India South Africa Serbia Romania Belgium Greece Portugal Brazil Guatemala,Germany Austria-Hungary Ottoman Empire Bulgaria,"Victory End of the German, Russian, Ottoman, and Austro-Hungarian empires Formation of new countries in Europe and the Middle East Transfer of German colonies and regions of the former Ottoman Empire to other powers Establishment of the League of Nations"
World War II(1941-1945),Soviet Union United States United Kingdom China France Poland Canada Australia New Zealand India South Africa Yugoslavia Greece Denmark Norway Netherlands Belgium Luxembourg Czechoslovakia Brazil Mexico Ethiopia Guatemala,Germany Japan Italy Hungary Romania Bulgaria Finland Thailand Manchukuo Croatia Slovakia,Victory Collapse of the Third Reich Fall of Japanese and Italian Empires Creation of the United Nations Emergence of the United States and the Soviet Union as superpowers Beginning of the Cold War
Mexico-Guatemala Conflict(1958-1959),Guatemala,Mexico,Inconclusive Relations between the two nations are frozen for several months
Guatemalan Civil War(1960-1996),Guatemala Argentina,URNG,Stalemate Peace accord signed in 1996
