War,Taiwan and allies,Opponents,Result,Casualties
First Taiwan Strait Crisis(1954-1955),,,,
Second Taiwan Strait Crisis(1958),,,,
Vietnam War(1965-1973),,,,
Communist insurgency in Thailand(1965-1983),,,,
Third Taiwan Strait Crisis(1995-1996),,,,
