Conflict,Combatants,Combatants,Result,President
Congo-Brazzaville Civil War(1993-1994),Lissouba Government Ninja Militia Gabon France,PCT,Victory Pascal Lissouba remains president,Omar Bongo
Séléka Rebellion(2013-2019),Central African Republic South Africa France DR Congo Angola Cameroon Chad Congo-Brazzaville Gabon,Séléka Anti-balaka,Ongoing President Michel Djotodia resigns and is replaced by Catherine Samba-Panza,Ali Bongo Ondimba
