Conflict,Combatant 1,Combatant 2,Results
Battle of St. George's Caye(1798),Great Britain Belize,Spain,Victory Threat of Spanish attacks decreased significantly
Caste War of Yucatán(1847-1901),Mexico Yucatán Guatemala United Kingdom Belize,Maya,"Victory Mexico, Guatemala and Belize recaptures Yucatán"
