Date,Conflict,Combatant 1,Combatant 2,Result
(1911),,,,
(1914-1915),,,,
(1917-1923),,,,
(1919-1921),,,,
(1921),,,,
(1935-1937),,,,
(1939),,,,
(1939-1945),,,,
(1946-1948),,,,
