Conflict,Combatant 1,Combatant 2,Result
Omani Invasion of Bahrain(1717),Muscat and Oman,Safavid dynasty,Victory Bahrain sold back to the Safavids.
Oman-Zanzibar War(1784),Muscat and Oman,Zanzibar,Victory Oman retakes Zanzibar.
Jebel Akhdar War(1954-1959),Muscat and Oman United Kingdom,Imamate of Oman,Sultanate victory Defeat of the Oman Imamate.
Dhofar Rebellion(1962-1976),Oman Iran United Kingdom,DLF PFLOAG NDFLOAG PFLO,Victory Defeat of rebels.
Gulf War  (1990-1991),Kuwait United States United Kingdom Saudi Arabia France Canada Egypt Syria Morocco Oman Qatar,Iraq,Victory Iraqi withdrawal from Kuwait; Emir Jaber Al-Ahmad Al-Jaber Al-Sabah restored.
