Conflict,Combatant 1,Combatant 2,Results,Casualties
Battle of Kaba(1855),,,,
Guadalcanal Campaign(1942-1943),,,,
Solomon Islands campaign(1942-1945),,,,
Iraq War(2003-2011),,,,
Iraq Post-invasion (2003-2011),,,,  
(2004-2006),,,,
(2003-2007),,,,
(2003-2011),,,,
