"warno","statenum","stateabb","yrbeg1","monbeg1","daybeg1","yrend1","monend1","dayend1","yrbeg2","monbeg2","daybeg2","yrend2","monend2","dayend2","duration","deaths","outcome","initiate","sysstat","prwarpop","prwararm","westhem","europe","africa","mideast","asia","oceania","version","warname","censubsy","subsysea","majpowin","majpowea","edition","pbdeadlow","pbdeadhigh","pbdeadbest","tbdeadlow","tbdeadhigh","tbdeadbest"
"103","640","TUR","1913","7","15","1913","7","30","-999","-999","-999","-999","-999","-999","16","20000","1","0","2","21274","241","0","1","0","0","0","0","3","Second Balkan","1","1","0","0","0","8826","23471","8826","26700","71000","26700"
"106","350","GRC","1917","6","29","1918","11","11","-999","-999","-999","-999","-999","-999","501","5000","1","0","2","4686","42","0","1","0","0","0","0","3","World War I","1","1","1","1","0","5000","5000","5000","8752635","8752635","8752635"
"106","740","JPN","1914","8","23","1918","11","11","-999","-999","-999","-999","-999","-999","1542","300","1","0","3","52039","300","0","0","0","0","1","0","3","World War I","1","1","1","1","0","415","415","415","8752635","8752635","8752635"
"106","640","TUR","1914","10","28","1918","11","11","-999","-999","-999","-999","-999","-999","1476","325000","2","0","2","18510","249","0","0","0","1","0","0","3","World War I","1","1","1","1","0","443598","443598","443598","8752635","8752635","8752635"
"106","365","USR","1914","8","1","1917","12","5","-999","-999","-999","-999","-999","-999","1223","1700000","1","0","3","169843","1321","0","1","0","1","0","0","3","World War I","1","1","1","1","0","2200000","2200000","2200000","8752635","8752635","8752635"
"106","355","BUL","1915","10","12","1918","9","29","-999","-999","-999","-999","-999","-999","1084","87500","2","0","2","4589","49","0","1","0","0","0","0","3","World War I","1","1","1","1","0","138344","138344","138344","8752635","8752635","8752635"
"106","345","YUG","1914","7","29","1918","11","11","-999","-999","-999","-999","-999","-999","1567","70000","1","0","2","4548","41","0","1","0","0","0","0","3","World War I","1","1","1","1","0","98000","98000","98000","8752635","8752635","8752635"
"106","325","ITA","1915","5","23","1918","11","11","-999","-999","-999","-999","-999","-999","1269","650000","1","0","3","35902","3159","0","1","0","0","0","0","3","World War I","1","1","1","1","0","320000","320000","320000","8752635","8752635","8752635"
"106","255","GMY","1914","8","1","1918","11","11","-999","-999","-999","-999","-999","-999","1564","1773700","2","0","3","66109","862","0","1","1","1","1","0","3","World War I","1","1","1","1","0","1963700","1963700","1963700","8752635","8752635","8752635"
"106","235","POR","1916","3","1","1918","11","11","-999","-999","-999","-999","-999","-999","986","7222","1","0","2","6021","125","0","1","0","0","0","0","3","World War I","1","1","1","1","0","8956","8956","8956","8752635","8752635","8752635"
"106","220","FRN","1914","8","3","1918","11","11","-999","-999","-999","-999","-999","-999","1562","1385000","1","0","3","39581","789","0","1","1","1","0","0","3","World War I","1","1","1","1","0","1305735","1305735","1305735","8752635","8752635","8752635"
"106","211","BEL","1914","8","4","1918","11","11","-999","-999","-999","-999","-999","-999","1561","13716","1","0","2","7546","115","0","1","0","0","0","0","3","World War I","1","1","1","1","0","20465","20465","20465","8752635","8752635","8752635"
"106","200","UKG","1914","8","5","1918","11","11","-999","-999","-999","-999","-999","-999","1560","908371","1","0","3","45801","532","0","1","1","1","1","0","3","World War I","1","1","1","1","0","939004","939004","939004","8752635","8752635","8752635"
"106","2","USA","1917","4","17","1918","11","11","-999","-999","-999","-999","-999","-999","574","116516","1","0","3","102268","644","0","1","0","0","0","0","3","World War I","1","1","1","1","0","50585","50585","50585","8752635","8752635","8752635"
"106","300","AUH","1914","7","29","1918","11","3","-999","-999","-999","-999","-999","-999","1559","1200000","2","1","3","52580","839","0","1","0","0","0","0","3","World War I","1","1","1","1","0","1022500","1022500","1022500","8752635","8752635","8752635"
"106","360","RUM","1916","8","27","1917","12","9","-999","-999","-999","-999","-999","-999","470","335706","1","0","2","8845","211","0","1","0","0","0","0","3","World War I","1","1","1","1","0","236333","236333","236333","8752635","8752635","8752635"
"109","365","USR","1919","2","14","1920","10","18","-999","-999","-999","-999","-999","-999","613","60000","2","1","2","124007","1550","0","1","0","0","0","0","3","Russo-Polish","1","1","0","0","1","23000","23000","23000","40278","40278","40278"
"109","290","POL","1919","2","14","1920","10","18","-999","-999","-999","-999","-999","-999","613","40000","1","0","2","25834","300","0","1","0","0","0","0","3","Russo-Polish","1","1","0","0","1","17278","17278","17278","40278","40278","40278"
"112","360","RUM","1919","4","16","1919","8","4","-999","-999","-999","-999","-999","-999","111","3000","1","1","2","9722","292","0","1","0","0","0","0","3","Hungarian-Allies","1","1","0","0","0","1800","1800","1800","6670","6670","6670"
"112","310","HUN","1919","4","16","1919","8","4","-999","-999","-999","-999","-999","-999","111","6000","2","0","2","7874","27","0","1","0","0","0","0","3","Hungarian-Allies","1","1","0","0","0","3670","3670","3670","6670","6670","6670"
"112","315","CZE","1919","4","16","1919","8","4","-999","-999","-999","-999","-999","-999","111","2000","1","1","2","13398","150","0","1","0","0","0","0","3","Hungarian-Allies","1","1","0","0","0","1200","1200","1200","6670","6670","6670"
"115","350","GRC","1919","5","5","1922","10","11","-999","-999","-999","-999","-999","-999","1256","30000","2","1","2","5176","58","0","1","0","1","0","0","3","Greco-Turkish","1","1","0","0","0","19362","19362","19362","32362","32362","32362"
"115","640","TUR","1919","5","5","1922","10","11","-999","-999","-999","-999","-999","-999","1256","20000","1","0","2","12847","129","0","1","0","1","0","0","3","Greco-Turkish","1","1","0","0","0","13000","13000","13000","32362","32362","32362"
"116","220","FRN","1919","11","1","1921","10","20","-999","-999","-999","-999","-999","-999","720","5000","3","1","3","38700","2364","0","0","0","1","0","0","3","Franco-Turkish","1","1","1","0","3","125","5000","125","1000","40000","1000"
"116","640","TUR","1919","11","1","1921","10","20","-999","-999","-999","-999","-999","-999","720","35000","4","0","2","12847","129","0","0","0","1","0","0","3","Franco-Turkish","1","1","1","0","3","875","35000","875","1000","40000","1000"
"117","290","POL","1920","7","15","1920","12","1","-999","-999","-999","-999","-999","-999","140","500","1","1","1","25834","300","0","1","0","0","0","0","3","Lithuanian-Polish","1","1","0","0","3","500","500","500","1000","1000","1000"
"117","368","LIT","1920","7","15","1920","12","1","-999","-999","-999","-999","-999","-999","140","500","2","0","1","2059","50","0","1","0","0","0","0","3","Lithuanian-Polish","1","1","0","0","3","500","500","500","1000","1000","1000"
"118","710","CHN","1929","8","17","1929","12","3","-999","-999","-999","-999","-999","-999","109","3000","2","0","1","478830","1700","0","0","0","0","1","0","3","Sino-Soviet","0","0","1","0","1","1035","3000","3200","2017","1178","2189"
"118","365","USR","1929","8","17","1929","12","3","-999","-999","-999","-999","-999","-999","109","200","1","1","4","153687","562","0","0","0","0","1","0","3","Sino-Soviet","0","0","1","0","1","143","200","3200","172","1178","2189"
"121","710","CHN","1931","12","19","1933","5","6","-999","-999","-999","-999","-999","-999","505","50000","2","0","1","487039","1700","0","0","0","0","1","0","3","Manchurian","0","0","1","0","0","16667","50000","33333","20000","60000","40000"
"121","740","JPN","1931","12","19","1933","5","6","-999","-999","-999","-999","-999","-999","505","10000","1","1","4","65457","292","0","0","0","0","1","0","3","Manchurian","0","0","1","0","0","3333","10000","6667","20000","60000","40000"
"124","145","BOL","1932","6","15","1935","6","12","-999","-999","-999","-999","-999","-999","1093","56661","2","0","1","2503","7","1","0","0","0","0","0","3","Chaco","0","0","0","0","0","25000","25000","25000","37000","37000","37000"
"124","150","PAR","1932","6","15","1935","6","12","-999","-999","-999","-999","-999","-999","1093","36000","1","1","1","918","3","1","0","0","0","0","0","3","Chaco","0","0","0","0","0","12000","12000","12000","37000","37000","37000"
"125","670","SAU","1934","3","20","1934","5","13","-999","-999","-999","-999","-999","-999","55","100","1","1","1","2924","4","0","0","0","1","0","0","3","Saudi-Yemeni","0","0","0","0","4","100","100","100","2100","2100","2100"
"125","678","YAR","1934","3","20","1934","5","13","-999","-999","-999","-999","-999","-999","55","2000","2","0","1","2569","18","0","0","0","1","0","0","3","Saudi-Yemeni","0","0","0","0","4","2000","2000","2000","2100","2100","2100"
"127","530","ETH","1935","10","3","1936","5","9","-999","-999","-999","-999","-999","-999","220","16000","2","0","1","12189","100","0","0","1","0","0","0","3","Italo-Ethiopian","0","0","1","0","0","16000","75000","16000","20359","79359","20359"
"127","325","ITA","1935","10","3","1936","5","9","-999","-999","-999","-999","-999","-999","220","4000","1","1","4","42808","1380","0","0","1","0","0","0","3","Italo-Ethiopian","0","0","1","0","0","4359","4359","4359","20359","79359","20359"
"130","740","JPN","1937","7","7","1941","12","7","-999","-999","-999","-999","-999","-999","1615","250000","1","1","4","70630","393","0","0","0","0","1","0","3","Sino-Japanese","0","0","1","0","0","319647","319647","319647","1860710","1860710","1860710"
"130","710","CHN","1937","7","7","1941","12","7","-999","-999","-999","-999","-999","-999","1615","750000","2","0","1","512523","2000","0","0","0","0","1","0","3","Sino-Japanese","0","0","1","0","0","1541063","1541063","1541063","1860710","1860710","1860710"
"133","365","USR","1938","7","29","1938","8","11","-999","-999","-999","-999","-999","-999","14","1200","2","1","4","180602","1566","0","0","0","0","1","0","3","Changkufeng","0","0","1","1","1","717","1200","717","1243","1726","1243"
"133","740","JPN","1938","7","29","1938","8","11","-999","-999","-999","-999","-999","-999","14","526","1","0","4","71013","370","0","0","0","0","1","0","3","Changkufeng","0","0","1","1","1","526","526","526","1243","1726","1243"
"136","365","USR","1939","5","11","1939","9","16","-999","-999","-999","-999","-999","-999","129","5000","1","0","4","170466","1789","0","0","0","0","1","0","3","Nomonhan","0","0","1","1","0","6831","6831","6831","18271","18271","18271"
"136","712","MON","1939","5","11","1939","9","16","-999","-999","-999","-999","-999","-999","129","3000","1","0","1","657","2","0","0","0","0","1","0","3","Nomonhan","0","0","1","1","0","3000","3000","3000","18271","18271","18271"
"136","740","JPN","1939","5","11","1939","9","16","-999","-999","-999","-999","-999","-999","129","20000","2","1","4","71380","957","0","0","0","0","1","0","3","Nomonhan","0","0","1","1","0","8440","8440","8440","18271","18271","18271"
"139","920","NEW","1939","9","3","1945","8","14","-999","-999","-999","-999","-999","-999","2173","12200","1","0","1","1627","1","0","0","1","1","1","1","3","World War II","0","0","1","1","0","10033","10033","10033","24494079","24494079","24494079"
